,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
2956,2956,2019,6,2019,Postdoctoral researcher in Exoplanet Atmospheres,Post-doctoral Positions and Fellowships,University of Amsterdam,Large Academic,/ad/c586d6d8,Netherlands,
2957,2957,2020,2,2019,PhD Position in Galaxy Formation and Evolution,Pre-doctoral/Graduate Positions,Lund University,Large Academic,/ad/a5422eb9,Sweden,
2958,2958,2022,5,2021,Postdoctoral Researcher in Observational Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,Leibniz Institute for Astrophysics Potsdam (AIP),Large Academic,/ad/fe09c21c,Germany,14482
2959,2959,2022,9,2022,"Postdoctoral Research Scholar in Solar, Stellar, and Exoplanet Research",Post-doctoral Positions and Fellowships,Arizona State University,Large Academic,/ad/37003582,United States of America,85287-6004
2960,2960,2021,1,2020,"Research Associate in Software for Radio Astronomy, NATIONAL RESEARCH COUNCIL of CANADA (NRC)",Post-doctoral Positions and Fellowships,National Research Council Canada,Government Agency,/ad/0988861a,Canada,V0H 1K0
2961,2961,2019,8,2019,Superintendent of McDonald Observatory,Science Management,McDonald Observatory - UT Austin,Large Academic,/ad/c1be0b4f,United States of America,78712
2962,2962,2021,9,2021,Chamberlain Fellow ,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/6ce38803,United States of America,94720
2963,2963,2023,2,2022,Observational Astronomy with Space-based Instruments,Faculty Positions (tenure and tenure-track),Florida State University,Large Academic,/ad/37ba7c92,United States of America,
2964,2964,2021,10,2021,Postdoctoral Research Fellowship in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,University of Oslo,Large Academic,/ad/fcee58d2,Norway,
2965,2965,2020,8,2020,Postdoctoral Position in Pulsar Searching and Einstein@Home,Post-doctoral Positions and Fellowships,University of Wisconsin-Milwaukee,Large Academic,/ad/a56103b5,United States of America,53211
2966,2966,2022,6,2022,Space Science &amp; Application Group Leader (R&amp;D Manager),Scientific/Technical Staff,Los Alamos National Laboratory,Government Agency,/ad/956e393f,United States of America,
2967,2967,2022,9,2022,Assistant Professor of Astronomy,Faculty Positions (tenure and tenure-track),Harvard University,Large Academic,/ad/f614f8f6,United States of America,02138
2968,2968,2022,6,2022,Multiple postdoc/research professor positions in galaxy evolution and supernova cosmology,Post-doctoral Positions and Fellowships,Yonsei University,Large Academic,/ad/3c735172,Korea (Republic of),
2969,2969,2021,7,2021,Plan for Postdoctoral Scholar–High Energy Solar Physics - Space Sciences Laboratory (JPF03023),Post-doctoral Positions and Fellowships,"University of California, Berkeley",Large Academic,/ad/05c3110c,United States of America,
2970,2970,2020,9,2020,PhD and Master positions in Astrophysics at the Pontificia Universidad Católica de Chile,Pre-doctoral/Graduate Positions,Pontificia Universidad Catolíca de Chile (PUC),Large Academic,/ad/b2ddd68e,Chile,7820436
2971,2971,2022,7,2022,Postdoctoral Scholar in NEO observations (MITHNEOS),Post-doctoral Positions and Fellowships,Northern Arizona University,Large Academic,/ad/84561955,United States of America,86011
2972,2972,2021,9,2021,"Assistant Professor, Physics",Faculty Positions (tenure and tenure-track),Worcester State University,Government Agency,/ad/f95a7dca,United States of America,01602
2973,2973,2023,3,2022,Optical Specialist / Senior Optical Specialist,Scientific/Technical Staff,The Australian National University,Large Academic,/ad/555cbe4b,Australia,2611
2974,2974,2019,10,2019,Plaskett Postdoctoral Fellowship (Research Associate),Post-doctoral Positions and Fellowships,NATIONAL RESEARCH COUNCIL of CANADA (NRC),Government Agency,/ad/db3dad17,Canada,V9E 2E7
2975,2975,2022,10,2022,Postdoc in cosmic web tomography with WEAVE-QSO and J-PAS,Post-doctoral Positions and Fellowships,Institut d'Astrophysique de Paris,Research Laboratory,/ad/f7312c79,France,75014
2976,2976,2023,2,2022,Postdoc in Exoplanet Atmospheres,Post-doctoral Positions and Fellowships,University of Maryland,Large Academic,/ad/369bc0eb,United States of America,20742
2977,2977,2020,12,2020,Two 2-years postdoctoral positions in Giant Radio Array for Neutrino Detection project at the University of Warsaw,Post-doctoral Positions and Fellowships,University of Warsaw,Large Academic,/ad/81711f74,Poland,
2978,2978,2020,12,2020,Applications Physicist I (Test Beam Facility &amp; Irradiation Test Area Assistant Manager),Other,Fermi National Accelerator Laboratory,Other,/ad/a6dcafc2,United States of America,60510
2979,2979,2021,6,2021,PhD position in stellar and nuclear astrophysics,Pre-doctoral/Graduate Positions,Max Planck Institute for Astronomy,Large Academic,/ad/00e22b28,Germany,
2980,2980,2023,2,2022,Postdoctoral position in observational exoplanet research,Post-doctoral Positions and Fellowships,Ariel University (AU),Large Academic,/ad/297b4628,Israel,
2981,2981,2021,9,2021,Assistant Scientist/Software Engineer II-IV,Science Engineering,National Radio Astronomy Observatory,Research Laboratory,/ad/4f1e55f2,United States of America,22903
2982,2982,2019,9,2019,"Assistant Professor - The Sutton Family Chair in Science, Christianity and Cultures",Faculty Positions (tenure and tenure-track),University of Toronto,Foreign,/ad/05336cd3,Canada,M5S 3H4
2983,2983,2021,1,2020,"Postdoctoral Position in Solar, Stellar and Exoplanet Sciences",Post-doctoral Positions and Fellowships,University of Exeter,Large Academic,/ad/bec8d6f7,United Kingdom of Great Britain and Northern Ireland,
2984,2984,2019,10,2019,Tenure-stream faculty position in astronomy,Faculty Positions (tenure and tenure-track),Michigan State University,Large Academic,/ad/6d54b359,United States of America,
2985,2985,2021,1,2020,Postdoctoral Research Associate in Time Domain Astronomy,Post-doctoral Positions and Fellowships,Washington State University,Large Academic,/ad/527020f5,United States of America,99163
2986,2986,2021,1,2020,Faculty position in Astrophysics at Eotvos University,Faculty Positions (tenure and tenure-track),Eotvos University,Large Academic,/ad/9278a6c0,Hungary,
2987,2987,2023,2,2022,Research Associate in Instrument Development. Cardiff University School of Physics and Astronomy,Post-doctoral Positions and Fellowships,Cardiff University,Large Academic,/ad/791fd7cb,United Kingdom of Great Britain and Northern Ireland,
2988,2988,2022,9,2022,YEMS/Harvard Postdoctoral fellowship,Post-doctoral Positions and Fellowships,Millennium Nucleus on Young Exoplanets and their Moons,Large Academic,/ad/670c55fd,Chile,
2989,2989,2021,10,2021,"Postdoctoral positions in machine learning, astrophysics, and cosmology",Post-doctoral Positions and Fellowships,University of Montreal,Large Academic,/ad/3f081402,Canada,
2990,2990,2021,12,2021,High Energy Density &amp; Fusion Design Physicist,Scientific/Technical Staff,Sandia National Laboratories,Research Laboratory,/ad/912c70f9,United States of America,87123
2991,2991,2020,7,2020,51 Pegasi b Fellowship in Planetary Astronomy at UCLA,Post-doctoral Positions and Fellowships,UCLA,Large Academic,/ad/813930c0,United States of America,
2992,2992,2020,10,2020,Tenure-track faculty position in Astronomy,Faculty Positions (tenure and tenure-track),Wesleyan University,Small Academic,/ad/f7e75c27,United States of America,06459
2993,2993,2019,10,2019,Flashlights HST Program Postdoctoral Scholar,Post-doctoral Positions and Fellowships,University of Minnesota,Large Academic,/ad/274245de,United States of America,55414
2994,2994,2022,1,2021,Postdoctoral position for simulations on supermassive black hole formation and growth,Post-doctoral Positions and Fellowships,Millennium Nucleus on Transversal Research and Technology to explore Supermassive Black Holes (TITANS),Small Academic,/ad/8e41ba3e,Chile,
2995,2995,2020,7,2020,Staff Scientists- #0051396,Scientific/Technical Staff,Space Telescope Science Institute,Other,/ad/65edb2ee,United States of America,21218
2996,2996,2022,2,2021,Senior Lecturer in Astrophysics,Faculty Positions (visiting and non-tenure),Illinois Institute of Technology,Small Academic,/ad/c03dfc16,United States of America,
2997,2997,2020,9,2020,Postdoctoral Fellowship in Astrophysics,Post-doctoral Positions and Fellowships,American Museum of Natural History,Planetarium,/ad/d5d4e7b4,United States of America,10024-5192
2998,2998,2022,2,2021,Quality Assurance Manager,Science Engineering,GMTO Corporation,Other,/ad/540cf2be,United States of America,
2999,2999,2020,3,2019, PhD positions in Supermassive Black Holes formation and evolution,Pre-doctoral/Graduate Positions,Multiple research centers across Europe - PI institution: University of Southampton,Foreign,/ad/c6bcb161,United Kingdom of Great Britain and Northern Ireland,SO17 1BJ
3000,3000,2020,5,2019,Senior Engineer - Primary Mirror Control System,Science Engineering,"TMT International Observatory, LLC",Other,/ad/4bc0d0c2,United States of America,
3001,3001,2021,10,2021,	Center for Gravitational Physics Postdoctoral Fellow,Post-doctoral Positions and Fellowships,The University of Texas at Austin,Large Academic,/ad/e04e8239,United States of America,
3002,3002,2019,11,2019,FT Assistant Professor - Astronomy,Faculty Positions (visiting and non-tenure),Lansing Community College,Large Academic,/ad/8db56058,United States of America,48933
3003,3003,2022,1,2021,Keto-Galileo Postdoctoral Research Fellowship,Post-doctoral Positions and Fellowships,Harvard University,Large Academic,/ad/1050b2f5,United States of America,02138
3004,3004,2019,12,2019,PhD positions in galaxy evolution and cosmology,Pre-doctoral/Graduate Positions,Laboratoire d'Astrophysique de Marseille,Research Laboratory,/ad/1d1b5ac4,France,13013
3005,3005,2020,5,2019,IPAC at Caltech Seeks a Software Developer ,Science Engineering,Caltech/IPAC,Large Academic,/ad/c21f931b,United States of America,
3006,3006,2021,10,2021,"Postdoctoral Research Associates in Theoretical and Computational Astrophysics, National Center for Theoretical Sciences, Taiwan ",Post-doctoral Positions and Fellowships,"National Center for Theoretical Sciences, Physics Division, National Taiwan University",Large Academic,/ad/d3d2b442,Taiwan,10617
3007,3007,2021,6,2021,Planetarium Show Specialist,Scientific/Technical Staff,Ball State University,Large Academic,/ad/399fb19f,United States of America,47306
3008,3008,2020,11,2020,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,Brown University,Large Academic,/ad/8e967ad5,United States of America,02912
3009,3009,2022,3,2021,Postdoctoral Research Position on High-z Galaxies with JWST,Post-doctoral Positions and Fellowships,"Kapteyn Astronomical Institute, Univ. of Groningen",Large Academic,/ad/d8ed0b22,Netherlands,
3010,3010,2022,11,2022,Senior Research Fellow (Simons Observatory:UK Project),Post-doctoral Positions and Fellowships,University of Manchester,Large Academic,/ad/8369017c,United Kingdom of Great Britain and Northern Ireland,
3011,3011,2019,9,2019,Postdoctoral Researcher in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,The Johns Hopkins University,Large Academic,/ad/12bb3bca,United States of America,21218
3012,3012,2023,4,2022,Postdoctoral QUC Research Fellow Position in Extra-galactic Astronomy and Cosmology,Post-doctoral Positions and Fellowships,Korea Institute for Advanced Study,Government Agency,/ad/0cdc114e,Korea (Republic of),02455
3013,3013,2021,10,2021,Nordita Fellowships 2022-2024,Post-doctoral Positions and Fellowships,"Nordita, the Nordic Institute for Theoretical Physics",Small Academic,/ad/13b7d2dd,Sweden,
3014,3014,2023,1,2022,Research Associate in Galactic Astronomy,Post-doctoral Positions and Fellowships,University of Manchester,Large Academic,/ad/0d2dfd95,United Kingdom of Great Britain and Northern Ireland,
3015,3015,2020,11,2020,"Post Doc Positions with IceCube, CTA, and HAWC at University of Wisconsin-Madison",Post-doctoral Positions and Fellowships,University of Wisconsin-Madison,Large Academic,/ad/fb2fa105,United States of America,53703
3016,3016,2021,9,2021,Tenure track position in Department of physics at National Taiwan University,Faculty Positions (tenure and tenure-track),National Taiwan University,Foreign,/ad/7226df0c,Taiwan,106
3017,3017,2022,8,2022,Visiting Assistant Professor of Astronomy,Faculty Positions (visiting and non-tenure),Oberlin College &amp; Conservatory,Small Academic,/ad/7aa3aa37,United States of America,44074
3018,3018,2022,9,2022,Cosmology Post-Doctoral Positions at Argonne National Laboratory,Post-doctoral Positions and Fellowships,Argonne National Laboratory,Government Agency,/ad/f68292d1,United States of America,60439
3019,3019,2022,11,2022,Faculty Position in Astronomical Instrumentation Chile,Faculty Positions (tenure and tenure-track),Pontificia Universidad Catolica de Chile,Foreign,/ad/0c8be06a,Chile,
3020,3020,2019,10,2019,Scientist or Astronomer,Scientific/Technical Staff,AURA/Gemini,Other,/ad/7e4976ec,United States of America,
3021,3021,2022,11,2022,0099303 Postdoctoral Research Associate/Fellow in Stellar Astrophysics (Open),Post-doctoral Positions and Fellowships,University of Sydney,Large Academic,/ad/5c1c1242,Australia,2006
3022,3022,2019,12,2019,"Research Fellowship in Cosmology at the Scuola Normale Superiore, Pisa",Post-doctoral Positions and Fellowships,Scuola Normale Superiore,Small Academic,/ad/7783600c,Italy,56126
3023,3023,2020,10,2020,Gliese Fellowship 2021 (University of Heidelberg/Germany),Post-doctoral Positions and Fellowships,University of Heidelberg (Germany),Large Academic,/ad/c29e6e74,Germany,69120
3024,3024,2022,11,2022,CATA Postdoctoral Fellowship for SDSS-V LVM Early Science Exploitation,Post-doctoral Positions and Fellowships,"Center for Astrophysics and Applied Technologies, CATA",Large Academic,/ad/8d9b3ecf,Chile,
3025,3025,2019,11,2019,Assistant Professor - Physics and Astronomy,Faculty Positions (tenure and tenure-track),University of Texas at San Antonio,Large Academic,/ad/0d052bec,United States of America,78249
3026,3026,2023,5,2022,Staff Science Operations Analyst #0007631,Scientific/Technical Staff,Space Telescope Science Institute,Other,/ad/eaf3662d,United States of America,21218
3027,3027,2022,2,2021,"Postdoctoral Fellowships in Astronomy, University of Science and Technology of China",Post-doctoral Positions and Fellowships,University of Science and Technology of China,Foreign,/ad/8a9824d3,China,230026
3028,3028,2019,9,2019,STScI Fellowship Program- #0037027,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/0c42fba4,United States of America,21218
3029,3029,2022,7,2022,Computational Cosmology Center Group Lead,Scientific/Technical Staff,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/2ba36867,United States of America,94720
3030,3030,2022,2,2021,Post-Doctoral Research Position in JWST Transiting Exoplanet Atmospheric Characterization- #0004586,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Small Academic,/ad/4c50a55b,United States of America,21218
3031,3031,2020,11,2020,Two-Year Postdoctoral Position in Galaxy Evolution,Post-doctoral Positions and Fellowships,Universidad Andres Bello,Large Academic,/ad/15a8eda1,Chile,
3032,3032,2019,11,2019,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,University of California Santa Cruz,Research Laboratory,/ad/4c487d2e,United States of America,95064
3033,3033,2022,10,2022,"Assistant Professor, Associate Professor, or Professor of Physics &amp; Astronomy ",Faculty Positions (tenure and tenure-track),University of Utah,Large Academic,/ad/941ccb40,United States of America,84112
3034,3034,2019,6,2019,Post-doctoral position in neutron star physics,Post-doctoral Positions and Fellowships,Université de Strasbourg,Research Laboratory,/ad/5c87a474,France,67000
3035,3035,2020,8,2020,Faculty Position in Observational Astrophysics and Cosmology,Faculty Positions (tenure and tenure-track),EPFL,Large Academic,/ad/638e04a2,Switzerland,
3036,3036,2020,10,2020,Senior Backend Web Developer,Other,AURA,Other,/ad/8054c7e9,United States of America,
3037,3037,2022,10,2022,Postdoctoral fellow with focus on studying the Milky Way as a galaxy using large surveys,Post-doctoral Positions and Fellowships,Lund University,Large Academic,/ad/564e986b,Sweden,SE-22100
3038,3038,2020,9,2020,INTERACTIONS Postdoctoral Fellowship Program,Faculty Positions (visiting and non-tenure),Niels Bohr International Academy,Foreign,/ad/67116dfe,Denmark,2100
3039,3039,2022,5,2021,Senior Software Engineer / Astronomy Data - #0004576,Science Engineering,Space Telescope Science Institute,Industry,/ad/ac0709b6,United States of America,21218
3040,3040,2020,12,2020,"Postdoctoral Positions in time domain astronomy, galactic archaeology and support of Rubin LSST",Post-doctoral Positions and Fellowships,Ruđer Bošković Institute,Foreign,/ad/2de69f0f,Croatia,
3041,3041,2019,8,2019,Postdoctoral position in Cosmology,Post-doctoral Positions and Fellowships,Ben-Gurion University,Large Academic,/ad/1249ca22,Israel,84105
3042,3042,2020,11,2020,Assistant or Associate Professor Experimental Neutrino Physics (tenure-track),Faculty Positions (tenure and tenure-track),Louisiana State University,Large Academic,/ad/315696a4,United States of America,70803
3043,3043,2019,10,2019,Postdoctoral Research Fellow,Post-doctoral Positions and Fellowships,University of Michigan,Large Academic,/ad/2998e4a4,United States of America,48109
3044,3044,2020,8,2020,IT Support and Research Lead,Scientific/Technical Staff,IT Support and Research Lead,Large Academic,/ad/85eb1ba5,United States of America,
3045,3045,2022,6,2022,Prize Research Fellows ,Post-doctoral Positions and Fellowships,University of Warwick,Large Academic,/ad/3ab11ae1,United Kingdom of Great Britain and Northern Ireland,CV4 7AL
3046,3046,2022,7,2022,Research Associate in Cosmic Microwave Background Research (Simons Observatory UK Project) (Five Posts Available),Post-doctoral Positions and Fellowships,University of Manchester,Large Academic,/ad/6cb64a37,United Kingdom of Great Britain and Northern Ireland,
3047,3047,2021,7,2021,Chair Professorship in Astrophysics,Faculty Positions (tenure and tenure-track),Ashoka University,Large Academic,/ad/b1914141,India,131029
3048,3048,2019,10,2019,Postdoctoral Research Associate or Senior Research Associate in Cosmology (Fixed Term),Post-doctoral Positions and Fellowships,University of Cambridge,Large Academic,/ad/53952662,United Kingdom of Great Britain and Northern Ireland,CB3 0WA
3049,3049,2021,10,2021,Kavli Astrophysics Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Kavli IPMU,Research Laboratory,/ad/22cbbd20,Japan,
3050,3050,2021,2,2020,Research Associate in Planetary Atmospheric Science,Faculty Positions (tenure and tenure-track),University of Leicester,Large Academic,/ad/50288dc9,United Kingdom of Great Britain and Northern Ireland,
3051,3051,2023,5,2022,Senior DevOps Software Engineer,Science Engineering,Space Telescope Science Institute,Other,/ad/3b56bbb2,United States of America,21218
3052,3052,2022,10,2022,Two five-year postdoc positions in computational ISM / galaxy evolution / star formation,Post-doctoral Positions and Fellowships,Australian National University,Large Academic,/ad/c9d8b8e6,Australia,2612
3053,3053,2021,12,2021,"NASA Postdoctoral Fellowships - Application Deadline March 1, 2022",Post-doctoral Positions and Fellowships,NASA / Universities Space Research Association,Other,/ad/8e56e188,United States of America,
3054,3054,2022,9,2022,Postdoctoral Positions in Computational Cosmology,Post-doctoral Positions and Fellowships,Seoul National University,Large Academic,/ad/cfb4d7ef,Korea (Republic of),08826
3055,3055,2022,3,2021,NOIRLab CEE Positions ,Other,AURA/NOIRLab,Other,/ad/d76a801c,United States of America,
3056,3056,2023,1,2022,Postdoctoral Research Assistant ,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/bd7590ed,United Kingdom of Great Britain and Northern Ireland,OX1 3RH
3057,3057,2022,12,2022,ASTRON/JIVE International Summer Students Programme 2023,Other,"ASTRON, Netherlands Institute for Radio Astronomy",Foreign,/ad/4c025d05,Netherlands,7991PD
3058,3058,2019,10,2019,Postdoctoral Position in Computational Astrophysics,Post-doctoral Positions and Fellowships,"Centre for Astrophysics &amp; Relativity, Dublin City University",Large Academic,/ad/158dfc3b,Ireland,D09 W6Y4
3059,3059,2021,10,2021,Faculty Positions  (Observatory Support),Faculty Positions (tenure and tenure-track),Tata Institute of Fundamental Research (TIFR),Large Academic,/ad/12aa5d90,India,411007
3060,3060,2019,9,2019,Benoziyo Prize Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Weizmann Institute of Science,Large Academic,/ad/9d49b8c7,Israel,7610001
3061,3061,2020,10,2020,Associate Mission Operations Specialist,Other,SOFIA / Universities Space Research Association,Other,/ad/4ca6a22e,United States of America,93550
3062,3062,2019,10,2019,Postdoctoral Position in ExtraGalactic Star Formation,Post-doctoral Positions and Fellowships,"University of Massachusetts, Amherst",Large Academic,/ad/162c45bf,United States of America,01003
3063,3063,2020,1,2019,ERC-funded position in computational astrophysics,Post-doctoral Positions and Fellowships,Charles University,Foreign,/ad/eb8f2da0,Czech Republic,18000
3064,3064,2022,10,2022,Postdoctoral Scholar in Astronomy - PFS,Post-doctoral Positions and Fellowships,University of Notre Dame,Large Academic,/ad/21bc5ebb,United States of America,
3065,3065,2019,12,2019,"Professor, Associate Professor, Assistant Professor",Faculty Positions (tenure and tenure-track),University of Arizona,Large Academic,/ad/de7cb2b5,United States of America,
3066,3066,2023,3,2022,Project Manager,Science Engineering,GMTO,Other,/ad/0fe2a98a,United States of America,91107
3067,3067,2021,11,2021,Postdoctoral Research Position in Planet Formation and Evolution,Post-doctoral Positions and Fellowships,University of Vienna,Large Academic,/ad/46eae0bf,Austria,1180
3068,3068,2021,12,2021,Postdoctoral Scholar – High-Energy Astrophysics: COSI and NuSTAR - Space Sciences Laboratory,Post-doctoral Positions and Fellowships,"University of California, Berkeley",Large Academic,/ad/0fcb548b,United States of America,
3069,3069,2020,9,2020,Galaxy Clustering Cosmology with Euclid,Post-doctoral Positions and Fellowships,Jet Propulsion Laboratory,Research Laboratory,/ad/1769c348,United States of America,91109
3070,3070,2019,8,2019,"Assistant Professor, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan,Foreign,/ad/376be58b,Japan,181-8588
3071,3071,2022,11,2022,WIRO Engineer,Science Engineering,University of Wyoming,Research Laboratory,/ad/a31d2334,United States of America,82071
3072,3072,2022,9,2022,Community Scientist for Documentation ,Scientific/Technical Staff,AURA/NOIRLab,Other,/ad/c939b657,United States of America,
3073,3073,2021,11,2021,Tenured and Tenure-Line Faculty,Faculty Positions (tenure and tenure-track),Pennsylvania State University,Large Academic,/ad/dd436fd7,United States of America,16802
3074,3074,2022,9,2022,Assistant Professor,Faculty Positions (tenure and tenure-track),Cornell University,Large Academic,/ad/12454eb8,United States of America,14853
3075,3075,2021,9,2021,Research Associate in Exoplanets and/or Sub-Stellar Objects ,Post-doctoral Positions and Fellowships,Cornell University,Large Academic,/ad/92f8c087,United States of America,14853
3076,3076,2021,10,2021,"Postdoc - CCAT-prime 850GHz camera, Experimental Cosmology and Astrophysics Group",Post-doctoral Positions and Fellowships,University of British Columbia,Large Academic,/ad/addaa28c,Canada,
3077,3077,2021,9,2021,Open-rank tenure-track faculty position in the Department of Physics,Faculty Positions (tenure and tenure-track),Florida International University,Large Academic,/ad/57a7bb3f,United States of America,33199
3078,3078,2020,1,2019,Lecturer in Radio Astronomy,Faculty Positions (tenure and tenure-track),University of Manchester,Large Academic,/ad/fb800feb,United Kingdom of Great Britain and Northern Ireland,
3079,3079,2019,10,2019,Postdoctoral Fellow,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,/ad/5dd96484,United States of America,10027
3080,3080,2019,6,2019,Astronauts + Astrophysicists need you! Wanted Cloud-based Software Engineer for Solar System Map,Science Engineering,B612 Foundation,Other,/ad/0a549f98,United States of America,
3081,3081,2019,10,2019, Postdoctoral Position in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,"Rutgers, The State University",Large Academic,/ad/dc11fcad,United States of America,08854
3082,3082,2019,7,2019,Associate Mission Operations Specialist (Telescope Operator),Science Engineering,SOFIA / Universities Space Research Association,Other,/ad/1f0394c2,United States of America,93535
3083,3083,2021,1,2020,ASTRO 3D Lecturer/Senior Lecturer in Astrophysics (Women Only),Faculty Positions (tenure and tenure-track),University of Sydney,Large Academic,/ad/bb27dcea,Australia,2006
3084,3084,2022,1,2021,Postdoctoral positions on 21-cm cosmology with LOFAR,Post-doctoral Positions and Fellowships,University of Groningen,Large Academic,/ad/490ab163,Netherlands,
3085,3085,2019,9,2019,Postdoctoral position in reionization studies: generation and analysis of synthetic observables,Post-doctoral Positions and Fellowships,Heidelberg Center for Astronomy,Large Academic,/ad/80a373f5,Germany,69120
3086,3086,2022,6,2022,Lecturer I Position Department of Astronomy University of Michigan,Faculty Positions (visiting and non-tenure),University Of Michigan,Large Academic,/ad/6e479b67,United States of America,48105
3087,3087,2022,3,2021,Research Fellow in Early Galaxy Formation and Evolution,Post-doctoral Positions and Fellowships,University of Manchester,Large Academic,/ad/6df59ecb,United Kingdom of Great Britain and Northern Ireland,
3088,3088,2022,11,2022,Assistant or Associate Professor in Astronomy and Astrophysics (Tenure-Track),Faculty Positions (tenure and tenure-track),Butler University,Small Academic,/ad/2c498b5f,United States of America,46208
3089,3089,2022,10,2022,Assistant/Associate Professor in Experimental Radio Cosmology,Faculty Positions (tenure and tenure-track),University of Cambridge,Large Academic,/ad/ca46e81c,United Kingdom of Great Britain and Northern Ireland,CB3 0HE
3090,3090,2022,6,2022,Data Scientist,Scientific/Technical Staff,The European Space Agency (ESA),Foreign,/ad/6c0bf030,Spain,
3091,3091,2023,3,2022,One Postdoctoral Contract Astroparticles-CTA 2023 (PS-2023-003),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/866710bc,Spain,
3092,3092,2021,12,2021,Postdoctoral Associate,Post-doctoral Positions and Fellowships,University of Florida,Large Academic,/ad/bf56f128,United States of America,32611
3093,3093,2022,9,2022,CTAC Fellowship,Post-doctoral Positions and Fellowships,Carnegie Institution for Science,Small Academic,/ad/f44f6e28,United States of America,91101
3094,3094,2022,6,2022,Postdoctoral positions in observational extragalactic astronomy,Post-doctoral Positions and Fellowships,University of Edinburgh,Large Academic,/ad/88a60180,United Kingdom of Great Britain and Northern Ireland,
3095,3095,2022,6,2022,One Postdoctoral Contract C60 Circumstellar Envelopes 2022 (PS-2022-038),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/a8299da7,Spain,
3096,3096,2022,10,2022,Post-doctoral researcher in observational extragalactic astrophysics,Post-doctoral Positions and Fellowships,Leibniz Institute for Astrophysics Potsdam (AIP),Foreign,/ad/40182312,Germany,14482
3097,3097,2022,9,2022,Call for applications to doctoral programs 2023A in UST KASI School,Other,Korea Astronomy and Space Science Institute (KASI),Foreign,/ad/dae46ea0,Korea (Republic of),34055
3098,3098,2022,9,2022,Earth Section Researchers,Faculty Positions (tenure and tenure-track),"Scripps Institution of Oceanography, UC San Diego",Large Academic,/ad/ceba0b8a,United States of America,92037
3099,3099,2020,9,2020,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,University of Edinburgh,Large Academic,/ad/373c4dd2,United Kingdom of Great Britain and Northern Ireland,EH9 3HJ
3100,3100,2023,2,2022,Postdoctoral positions (Planet Formation),Post-doctoral Positions and Fellowships,Università degli Studi di Milano,Large Academic,/ad/90febcce,Italy,20133
3101,3101,2020,12,2020,Postdoctoral Research Assistant in Classical &amp; Recurrent Novae,Post-doctoral Positions and Fellowships,Liverpool John Moores University,Foreign,/ad/099b0062,United Kingdom of Great Britain and Northern Ireland,L3 5RF
3102,3102,2019,11,2019,"Recruitment for FAST Fellow Positions in ISM Group, NAOC",Post-doctoral Positions and Fellowships,"National Astronomical Observatories, Chinese Academy of Sciences",Large Academic,/ad/fcab0ff9,China,100101
3103,3103,2019,9,2019,Postdoctoral Research Associate in Gamma-Ray Astronomy,Post-doctoral Positions and Fellowships,University of Utah,Large Academic,/ad/8134fb51,United States of America,84112
3104,3104,2022,9,2022,University of Michigan Postdoctoral Position in Machine Learning and Software Development for Cosmology,Post-doctoral Positions and Fellowships,University of Michigan,Large Academic,/ad/eaceea7c,United States of America,48109
3105,3105,2020,4,2019,IT Specialist,Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/a1df0551,United States of America,
3106,3106,2020,7,2020,Department Head of Physics &amp; Astronomy,Science Management,Purdue University,Large Academic,/ad/6f1cbbac,United States of America,47907
3107,3107,2021,3,2020,Postdoctoral Research Associate in cometary science,Post-doctoral Positions and Fellowships,University of Edinburgh,Large Academic,/ad/d2c6bc93,United Kingdom of Great Britain and Northern Ireland,
3108,3108,2023,3,2022,Science Software Developer (IT Specialist),Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/9fba46ba,United States of America,
3109,3109,2019,9,2019,"Tenure-track Appointments in Science, Mathematics, and/or Statistics, Harvard University",Faculty Positions (tenure and tenure-track),Harvard University,Large Academic,/ad/22de5f70,United States of America,02138
3110,3110,2022,7,2022,Research Associate in Information Technology ,Post-doctoral Positions and Fellowships,Thüringer Landessternwarte,Large Academic,/ad/cad7d0a6,Germany,
3111,3111,2022,3,2021,Deputy Project Manager,Science Management,TMT International Observatory LLC,Other,/ad/488bfcc1,United States of America,
